P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5)
0.10000941927150472,0.10002516444985192,0.5999230829933357,0.10002428665637217,0.10001804662893536
0.08336855894704633,0.08292057865324397,0.08292092791221375,0.08292026400108785,0.6678696704864081
0.5040500935857973,0.05895717794363,0.05048801359750039,0.3357914691459074,0.050713245727164825
0.44848867360323624,0.053035943338374004,0.05428880489330476,0.2897675743241043,0.15441900384098067
0.6625500973209457,0.08312592925148371,0.08807555259687593,0.08312628848246142,0.08312213234823333
0.07589758586231304,0.07585479989388867,0.07585539783012335,0.6962931704890193,0.07609904592465574
0.05874205720637933,0.18493287481415754,0.05872442821431836,0.6387717417714265,0.058828897993718356
0.17956000516860984,0.06231906865087783,0.633485036958454,0.06232033538308369,0.062315553838974656
0.6701723399269683,0.0509152164798324,0.050915851952681786,0.05099768492385162,0.17699890671666585
0.10000054406965721,0.10000145327081544,0.10000153676673666,0.10000140211461467,0.5999950637781759
0.09332703828190182,0.6435601349530602,0.08770462357692645,0.08770444155408856,0.08770376163402312
0.10000345182442544,0.10000848742918735,0.5999733924571525,0.10000819160206598,0.10000647668716876
0.29749685465344056,0.06709151834829052,0.06709206879808972,0.5010993122784609,0.06722024592171824
0.10000069956845697,0.5999944565354504,0.10000183711339189,0.10000175104993342,0.10000125573276729
0.4988444426740668,0.08415380664081164,0.08415391388406315,0.24653342097887482,0.08631441582218352
0.07423175626313055,0.2457076785693262,0.07424391777979397,0.5315787093431575,0.07423793804459172
0.1000000864406216,0.5999993055251819,0.1000002334487358,0.10000021515287605,0.10000015943258474
0.7756844530248419,0.05604307167107473,0.05604427260185235,0.05604222515640381,0.056185977545827166
0.08286291527306419,0.0828764337592837,0.6685146826320432,0.08287567624524667,0.08287029209036231
0.6543172983378287,0.13194350177584274,0.05173089199880489,0.05225263629817901,0.1097556715893447
0.1000000864406216,0.5999993055251819,0.1000002334487358,0.10000021515287605,0.10000015943258474
0.8109338012313927,0.04533437056752855,0.045335581515865246,0.05307295787346679,0.04532328881174666
0.07516889618170537,0.07476403645562328,0.07476463164590293,0.6998827296835625,0.07541970603320604
0.2,0.2,0.2,0.2,0.2
0.06315129947414304,0.0631422248849612,0.06314308011670501,0.7473245261341994,0.0632388693899914
0.10000023898899231,0.10000056264388733,0.10000058538609359,0.10000053821408336,0.5999980747669434
0.06358689883510782,0.1742798982677392,0.5433744053427237,0.06323850755726235,0.15552028999716694
0.24375334038291185,0.05935521389534192,0.059355580000315905,0.059352157186311684,0.5781837085351187
0.23263274027634606,0.04834372555992835,0.6201688522039903,0.04850835558427879,0.05034632637545642
0.48769015758193734,0.2455286821527748,0.05654170849291439,0.15371423425667965,0.05652521751569384
0.5999840991018343,0.10000430468413349,0.10000438310409984,0.10000403279773447,0.10000318031219789
0.08311646574056057,0.6675245694900352,0.083120191625649,0.08312046341751617,0.08311830972623888
0.10001023625836271,0.10002735218189923,0.10002869195191445,0.5999141058057041,0.10001961380211945
0.10000092721404931,0.599448001383884,0.10000264320855926,0.10054673368784597,0.10000169450566154
0.2931263851177151,0.5182202013143291,0.06285562337023165,0.06285424644534018,0.06294354375238394
0.7128203374898141,0.052532232835186696,0.05253425372826928,0.05253054459837157,0.12958263134835832
0.08673686628929213,0.6647105949517452,0.08285109026667757,0.08285093683644568,0.08285051165583944
0.1000000864406216,0.5999993055251819,0.1000002334487358,0.10000021515287605,0.10000015943258474
0.8060460085239253,0.03718264397793155,0.03737093755957304,0.03724200156303347,0.0821584083755367
